property_description,address,price,size_m2,number_rooms,number_bathrooms,number_parking_spaces
"Apartamento com 4 Quartos à Venda, 158m2","Rua Itapiru, 795 - Parque Bela Vista, Salto - SP",BRL 700.000,158,4,4,2
"Apartamento com 2 Quartos à Venda, 47m2","Rua Antônio Gianotto, 243 - Guaraú, Salto - SP",BRL 185.000,47,2,1,1
"Apartamento com 2 Quartos à Venda, 53m2","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",BRL 277.000,53,2,1,1
Apartamento com 2 Quartos à Venda/Aluguel 76m2,"Rua Padre José de Anchieta, 86 - Vila Romão, Salto - SP",BRL 1.500 /month,76,2,1,1
Apartamento com 2 Quartos para Venda/Aluguel 62m2,"Jardim Sontag, Salto - SP",BRL 260.000,62,2,2,1
"Apartamento com 2 Quartos à Venda, 61m2","Salto Ville, Salto - SP",BRL 1.800 /month,61,2,1,1
Torres de Itu,"Rua Francisco Brantes Lima, 501 - Jardim Rosinha, Itu - SP",BRL 290.000,73-86,44960,2,44928
"Apartamento com 2 Quartos à Venda, 51m2","Rua Melvin Jones, 500 - Vila Roma, Salto - SP","A partir de
BRL 309.000",51,2,1,1
"Apartamento com 2 Quartos à Venda, 74m2","Jardim Nair Maria, Salto - SP",BRL 206.000,74,2,1,1
"Apartamento com 2 Quartos à Venda, 48m2","Rua Eviner Gonzaga - Loteamento Jardim das Constelacoes, Salto - SP",BRL 371.000,48,2,1,1
"Apartamento com 3 Quartos à Venda, 84m2","Rua Doutor Henrique Viscardi - Vila Henrique, Salto - SP",BRL 170.000,84,3,2,2
"Apartamento com 3 Quartos à Venda, 75m2","Rua São Mateus - Jardim Nova Era, Salto - SP",BRL 420.000,75,3,2,2
"Apartamento com 2 Quartos à Venda, 45m2","Jardim Nair Maria, Salto - SP",BRL 390.000,45,2,1,--
"Apartamento com 3 Quartos à Venda, 85m2","Rua São Mateus, 51 - Jardim Nova Era, Salto - SP",BRL 190.000,85,3,1,2
"Apartamento com 2 Quartos à Venda, 44m2","Rua Eviner Gonzaga, 22 - Loteamento Jardim das Constelacoes, Salto - SP",BRL 209.000,44,2,1,1
"Apartamento com 2 Quartos à Venda, 65m2","Avenida Remigio Dalla Vecchia, 431 - Jardim Nair Maria, Salto - SP",BRL 186.000,65,2,1,1
"Apartamento com 2 Quartos à Venda, 46m2","Salto Ville, Salto - SP",BRL 295.000,46,2,1,1
"Apartamento com 2 Quartos à Venda, 62m2","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",BRL 3.200 /month,62,2,1,1
Apartamento com 2 Quartos para Venda/Aluguel 114m2,"Vila Teixeira, Salto - SP",BRL 480.000,114,2,3,2
Apartamento com 3 Quartos para Venda/Aluguel 63m2,"Parque Bela Vista, Salto - SP",BRL 2.300 /month,63,3,1,1
