property_description,address,price,size_m2,number_rooms,number_bathrooms,number_parking_spaces
"Apartamento com 2 Quartos à Venda, 45m2","Jardim Nair Maria, Salto - SP",BRL 186.000,45,2,1,--
"Apartamento com 3 Quartos à Venda, 85m2","Jardim Nair Maria, Salto - SP",BRL 295.000,85,3,1,2
"Apartamento com 2 Quartos à Venda, 44m2","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",BRL 3.200 /month,44,2,1,1
"Apartamento com 2 Quartos à Venda, 65m2","Rua Macapá, 80 - Jardim Panorama, Salto - SP",BRL 480.000,65,2,1,1
"Apartamento com 2 Quartos à Venda, 46m2","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",BRL 2.300 /month,46,2,1,1
"Apartamento com 2 Quartos à Venda, 62m2","Rua Turmalina, 51 - Jardim Sontag, Salto - SP",BRL 320.000,62,2,1,1
Apartamento com 2 Quartos para Venda/Aluguel 114m2,"Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",BRL 220.000,114,2,3,2
Apartamento com 3 Quartos para Venda/Aluguel 63m2,"Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",BRL 185.000,63,3,1,1
"Apartamento com 2 Quartos à Venda, 46m2","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",BRL 367.000,46,2,1,1
"Apartamento com 3 Quartos à Venda, 63m2","Avenida Eugênio Coltro, 1925 - Salto Ville, Salto - SP",BRL 367.000,63,3,2,--
"Apartamento com 2 Quartos à Venda, 42m2","Rua das Nações Unidas, 2111 - Olaria, Salto - SP",BRL 183.490,42,2,1,1
"Apartamento com 2 Quartos à Venda, 74m2","Rua Itapiru, 795 - Parque Bela Vista, Salto - SP",BRL 330.000,74,2,1,1
"Apartamento com 2 Quartos à Venda, 63m2","Rua Antônio Gianotto, 243 - Guaraú, Salto - SP",BRL 550.000,63,2,2,1
"Apartamento com 2 Quartos à Venda, 166m2","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",BRL 340.000,166,2,4,2
"Apartamento com 2 Quartos à Venda, 56m2","Rua Padre José de Anchieta, 86 - Vila Romão, Salto - SP",BRL 270.000,56,2,1,1
"Apartamento com 3 Quartos à Venda, 120m2","Jardim Sontag, Salto - SP",BRL 275.000,120,3,2,2
Residencial Sabine,"Salto Ville, Salto - SP",BRL 190.000,40-43,2,1,1
"Apartamento com 3 Quartos à Venda, 64m2","Rua Francisco Brantes Lima, 501 - Jardim Rosinha, Itu - SP",BRL 168.490,64,3,1,1
"Apartamento com 3 Quartos à Venda, 94m2","Rua Melvin Jones, 500 - Vila Roma, Salto - SP",BRL 700.000,94,3,2,1
"Apartamento com 2 Quartos à Venda, 62m2","Jardim Nair Maria, Salto - SP",BRL 185.000,62,2,2,1
"Apartamento com 2 Quartos à Venda, 65m2","Rua Eviner Gonzaga - Loteamento Jardim das Constelacoes, Salto - SP",BRL 277.000,65,2,2,1
"Apartamento com 2 Quartos à Venda, 53m2","Rua Doutor Henrique Viscardi - Vila Henrique, Salto - SP",BRL 1.500 /month,53,2,1,1
"Apartamento com 2 Quartos à Venda, 48m2","Rua São Mateus - Jardim Nova Era, Salto - SP",BRL 260.000,48,2,1,1
Residencial Sollare,"Jardim Nair Maria, Salto - SP",BRL 1.800 /month,40,2,44928,1
"Apartamento com 4 Quartos à Venda, 158m2","Rua São Mateus, 51 - Jardim Nova Era, Salto - SP",BRL 290.000,158,4,4,2
"Apartamento com 2 Quartos à Venda, 47m2","Rua Eviner Gonzaga, 22 - Loteamento Jardim das Constelacoes, Salto - SP","A partir de
BRL 309.000",47,2,1,1
"Apartamento com 2 Quartos à Venda, 53m2","Avenida Remigio Dalla Vecchia, 431 - Jardim Nair Maria, Salto - SP",BRL 206.000,53,2,1,1
Apartamento com 2 Quartos à Venda/Aluguel 76m2,"Salto Ville, Salto - SP",BRL 371.000,76,2,1,1
Apartamento com 2 Quartos para Venda/Aluguel 62m2,"Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",BRL 170.000,62,2,2,1
"Apartamento com 2 Quartos à Venda, 61m2","Vila Teixeira, Salto - SP",BRL 420.000,61,2,1,1
Torres de Itu,"Parque Bela Vista, Salto - SP",BRL 390.000,73-86,44960,2,44928
"Apartamento com 2 Quartos à Venda, 51m2","Parque Bela Vista, Salto - SP",BRL 190.000,51,2,1,1
"Apartamento com 2 Quartos à Venda, 74m2","Jardim Nair Maria, Salto - SP",BRL 209.000,74,2,1,1
"Apartamento com 2 Quartos à Venda, 48m2","Avenida Remigio Dalla Vecchia, 0 - Jardim Nair Maria, Salto - SP",BRL 186.000,48,2,1,1
"Apartamento com 3 Quartos à Venda, 84m2","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",BRL 295.000,84,3,2,2
"Apartamento com 3 Quartos à Venda, 75m2","Jardim Nair Maria, Salto - SP",BRL 3.200 /month,75,3,2,2
"Apartamento com 2 Quartos à Venda, 45m2","Jardim Nair Maria, Salto - SP",BRL 480.000,45,2,1,--
"Apartamento com 3 Quartos à Venda, 85m2","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",BRL 2.300 /month,85,3,1,2
"Apartamento com 2 Quartos à Venda, 44m2","Rua Macapá, 80 - Jardim Panorama, Salto - SP",BRL 320.000,44,2,1,1
"Apartamento com 2 Quartos à Venda, 65m2","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",BRL 220.000,65,2,1,1
"Apartamento com 2 Quartos à Venda, 46m2","Rua Turmalina, 51 - Jardim Sontag, Salto - SP",BRL 185.000,46,2,1,1
"Apartamento com 2 Quartos à Venda, 62m2","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",BRL 367.000,62,2,1,1
Apartamento com 2 Quartos para Venda/Aluguel 114m2,"Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",BRL 367.000,114,2,3,2
Apartamento com 3 Quartos para Venda/Aluguel 63m2,"Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",BRL 183.490,63,3,1,1
"Apartamento com 2 Quartos à Venda, 46m2","Avenida Eugênio Coltro, 1925 - Salto Ville, Salto - SP",BRL 330.000,46,2,1,1
"Apartamento com 3 Quartos à Venda, 63m2","Rua das Nações Unidas, 2111 - Olaria, Salto - SP",BRL 550.000,63,3,2,--
"Apartamento com 2 Quartos à Venda, 42m2","Rua Itapiru, 795 - Parque Bela Vista, Salto - SP",BRL 340.000,42,2,1,1
"Apartamento com 2 Quartos à Venda, 74m2","Rua Antônio Gianotto, 243 - Guaraú, Salto - SP",BRL 270.000,74,2,1,1
"Apartamento com 2 Quartos à Venda, 63m2","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",BRL 275.000,63,2,2,1
"Apartamento com 2 Quartos à Venda, 166m2","Rua Padre José de Anchieta, 86 - Vila Romão, Salto - SP",BRL 190.000,166,2,4,2
"Apartamento com 2 Quartos à Venda, 56m2","Jardim Sontag, Salto - SP",BRL 168.490,56,2,1,1
"Apartamento com 3 Quartos à Venda, 120m2","Salto Ville, Salto - SP",BRL 700.000,120,3,2,2
Residencial Sabine,"Rua Francisco Brantes Lima, 501 - Jardim Rosinha, Itu - SP",BRL 185.000,40-43,2,1,1
"Apartamento com 3 Quartos à Venda, 64m2","Rua Melvin Jones, 500 - Vila Roma, Salto - SP",BRL 277.000,64,3,1,1
"Apartamento com 3 Quartos à Venda, 94m2","Jardim Nair Maria, Salto - SP",BRL 1.500 /month,94,3,2,1
"Apartamento com 2 Quartos à Venda, 62m2","Rua Eviner Gonzaga - Loteamento Jardim das Constelacoes, Salto - SP",BRL 260.000,62,2,2,1
"Apartamento com 2 Quartos à Venda, 65m2","Rua Doutor Henrique Viscardi - Vila Henrique, Salto - SP",BRL 1.800 /month,65,2,2,1
"Apartamento com 2 Quartos à Venda, 53m2","Rua São Mateus - Jardim Nova Era, Salto - SP",BRL 290.000,53,2,1,1
"Apartamento com 2 Quartos à Venda, 48m2","Jardim Nair Maria, Salto - SP","A partir de
BRL 309.000",48,2,1,1
Residencial Sollare,"Rua São Mateus, 51 - Jardim Nova Era, Salto - SP",BRL 206.000,40,2,44928,1
"Apartamento com 4 Quartos à Venda, 158m2","Rua Eviner Gonzaga, 22 - Loteamento Jardim das Constelacoes, Salto - SP",BRL 371.000,158,4,4,2
"Apartamento com 2 Quartos à Venda, 47m2","Avenida Remigio Dalla Vecchia, 431 - Jardim Nair Maria, Salto - SP",BRL 170.000,47,2,1,1
"Apartamento com 2 Quartos à Venda, 53m2","Salto Ville, Salto - SP",BRL 420.000,53,2,1,1
Apartamento com 2 Quartos à Venda/Aluguel 76m2,"Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",BRL 390.000,76,2,1,1
Apartamento com 2 Quartos para Venda/Aluguel 62m2,"Vila Teixeira, Salto - SP",BRL 190.000,62,2,2,1
"Apartamento com 2 Quartos à Venda, 61m2","Parque Bela Vista, Salto - SP",BRL 209.000,61,2,1,1
Torres de Itu,"Parque Bela Vista, Salto - SP",BRL 186.000,73-86,44960,2,44928
"Apartamento com 2 Quartos à Venda, 51m2","Jardim Nair Maria, Salto - SP",BRL 295.000,51,2,1,1
"Apartamento com 2 Quartos à Venda, 74m2","Avenida Remigio Dalla Vecchia, 0 - Jardim Nair Maria, Salto - SP",BRL 3.200 /month,74,2,1,1
"Apartamento com 2 Quartos à Venda, 48m2","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",BRL 480.000,48,2,1,1
"Apartamento com 3 Quartos à Venda, 84m2","Jardim Nair Maria, Salto - SP",BRL 2.300 /month,84,3,2,2
"Apartamento com 3 Quartos à Venda, 75m2","Jardim Nair Maria, Salto - SP",BRL 320.000,75,3,2,2
"Apartamento com 2 Quartos à Venda, 45m2","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",BRL 220.000,45,2,1,--
"Apartamento com 3 Quartos à Venda, 85m2","Rua Macapá, 80 - Jardim Panorama, Salto - SP",BRL 185.000,85,3,1,2
"Apartamento com 2 Quartos à Venda, 44m2","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",BRL 367.000,44,2,1,1
"Apartamento com 2 Quartos à Venda, 65m2","Rua Turmalina, 51 - Jardim Sontag, Salto - SP",BRL 367.000,65,2,1,1
"Apartamento com 2 Quartos à Venda, 46m2","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",BRL 183.490,46,2,1,1
"Apartamento com 2 Quartos à Venda, 62m2","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",BRL 330.000,62,2,1,1
Apartamento com 2 Quartos para Venda/Aluguel 114m2,"Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",BRL 550.000,114,2,3,2
Apartamento com 3 Quartos para Venda/Aluguel 63m2,"Avenida Eugênio Coltro, 1925 - Salto Ville, Salto - SP",BRL 340.000,63,3,1,1
"Apartamento com 2 Quartos à Venda, 46m2","Rua das Nações Unidas, 2111 - Olaria, Salto - SP",BRL 270.000,46,2,1,1
"Apartamento com 3 Quartos à Venda, 63m2","Rua Itapiru, 795 - Parque Bela Vista, Salto - SP",BRL 275.000,63,3,2,--
"Apartamento com 2 Quartos à Venda, 42m2","Rua Antônio Gianotto, 243 - Guaraú, Salto - SP",BRL 190.000,42,2,1,1
"Apartamento com 2 Quartos à Venda, 74m2","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",BRL 168.490,74,2,1,1
"Apartamento com 2 Quartos à Venda, 63m2","Rua Padre José de Anchieta, 86 - Vila Romão, Salto - SP",BRL 700.000,63,2,2,1
"Apartamento com 2 Quartos à Venda, 166m2","Jardim Sontag, Salto - SP",BRL 185.000,166,2,4,2
"Apartamento com 2 Quartos à Venda, 56m2","Salto Ville, Salto - SP",BRL 277.000,56,2,1,1
"Apartamento com 3 Quartos à Venda, 120m2","Rua Francisco Brantes Lima, 501 - Jardim Rosinha, Itu - SP",BRL 1.500 /month,120,3,2,2
Residencial Sabine,"Rua Melvin Jones, 500 - Vila Roma, Salto - SP",BRL 260.000,40-43,2,1,1
"Apartamento com 3 Quartos à Venda, 64m2","Jardim Nair Maria, Salto - SP",BRL 1.800 /month,64,3,1,1
"Apartamento com 3 Quartos à Venda, 94m2","Rua Eviner Gonzaga - Loteamento Jardim das Constelacoes, Salto - SP",BRL 290.000,94,3,2,1
"Apartamento com 2 Quartos à Venda, 62m2","Rua Doutor Henrique Viscardi - Vila Henrique, Salto - SP","A partir de
BRL 309.000",62,2,2,1
"Apartamento com 2 Quartos à Venda, 65m2","Rua São Mateus - Jardim Nova Era, Salto - SP",BRL 206.000,65,2,2,1
"Apartamento com 2 Quartos à Venda, 53m2","Jardim Nair Maria, Salto - SP",BRL 371.000,53,2,1,1
"Apartamento com 2 Quartos à Venda, 48m2","Rua São Mateus, 51 - Jardim Nova Era, Salto - SP",BRL 170.000,48,2,1,1
Residencial Sollare,"Rua Eviner Gonzaga, 22 - Loteamento Jardim das Constelacoes, Salto - SP",BRL 420.000,40,2,44928,1
"Apartamento com 4 Quartos à Venda, 158m2","Avenida Remigio Dalla Vecchia, 431 - Jardim Nair Maria, Salto - SP",BRL 390.000,158,4,4,2
"Apartamento com 2 Quartos à Venda, 47m2","Salto Ville, Salto - SP",BRL 190.000,47,2,1,1
"Apartamento com 2 Quartos à Venda, 53m2","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",BRL 209.000,53,2,1,1
Apartamento com 2 Quartos à Venda/Aluguel 76m2,"Vila Teixeira, Salto - SP",BRL 186.000,76,2,1,1
Apartamento com 2 Quartos para Venda/Aluguel 62m2,"Parque Bela Vista, Salto - SP",BRL 295.000,62,2,2,1
"Apartamento com 2 Quartos à Venda, 61m2","Parque Bela Vista, Salto - SP",BRL 3.200 /month,61,2,1,1
Torres de Itu,"Jardim Nair Maria, Salto - SP",BRL 480.000,73-86,44960,2,44928
"Apartamento com 2 Quartos à Venda, 51m2","Avenida Remigio Dalla Vecchia, 0 - Jardim Nair Maria, Salto - SP",BRL 2.300 /month,51,2,1,1
"Apartamento com 2 Quartos à Venda, 74m2","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",BRL 320.000,74,2,1,1
"Apartamento com 2 Quartos à Venda, 48m2","Jardim Nair Maria, Salto - SP",BRL 220.000,48,2,1,1
"Apartamento com 3 Quartos à Venda, 84m2","Jardim Nair Maria, Salto - SP",BRL 185.000,84,3,2,2
"Apartamento com 3 Quartos à Venda, 75m2","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",BRL 367.000,75,3,2,2
"Apartamento com 2 Quartos à Venda, 45m2","Rua Macapá, 80 - Jardim Panorama, Salto - SP",BRL 367.000,45,2,1,--
"Apartamento com 3 Quartos à Venda, 85m2","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",BRL 183.490,85,3,1,2
"Apartamento com 2 Quartos à Venda, 44m2","Rua Turmalina, 51 - Jardim Sontag, Salto - SP",BRL 330.000,44,2,1,1
"Apartamento com 2 Quartos à Venda, 65m2","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",BRL 550.000,65,2,1,1
"Apartamento com 2 Quartos à Venda, 46m2","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",BRL 340.000,46,2,1,1
"Apartamento com 2 Quartos à Venda, 62m2","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",BRL 270.000,62,2,1,1
Apartamento com 2 Quartos para Venda/Aluguel 114m2,"Avenida Eugênio Coltro, 1925 - Salto Ville, Salto - SP",BRL 275.000,114,2,3,2
Apartamento com 3 Quartos para Venda/Aluguel 63m2,"Rua das Nações Unidas, 2111 - Olaria, Salto - SP",BRL 190.000,63,3,1,1
"Apartamento com 2 Quartos à Venda, 46m2","Rua Itapiru, 795 - Parque Bela Vista, Salto - SP",BRL 168.490,46,2,1,1
"Apartamento com 3 Quartos à Venda, 63m2","Rua Antônio Gianotto, 243 - Guaraú, Salto - SP",BRL 700.000,63,3,2,--
"Apartamento com 2 Quartos à Venda, 42m2","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",BRL 185.000,42,2,1,1
"Apartamento com 2 Quartos à Venda, 74m2","Rua Padre José de Anchieta, 86 - Vila Romão, Salto - SP",BRL 277.000,74,2,1,1
"Apartamento com 2 Quartos à Venda, 63m2","Jardim Sontag, Salto - SP",BRL 1.500 /month,63,2,2,1
"Apartamento com 2 Quartos à Venda, 166m2","Salto Ville, Salto - SP",BRL 260.000,166,2,4,2
"Apartamento com 2 Quartos à Venda, 56m2","Rua Francisco Brantes Lima, 501 - Jardim Rosinha, Itu - SP",BRL 1.800 /month,56,2,1,1
"Apartamento com 3 Quartos à Venda, 120m2","Rua Melvin Jones, 500 - Vila Roma, Salto - SP",BRL 290.000,120,3,2,2
Residencial Sabine,"Jardim Nair Maria, Salto - SP","A partir de
BRL 309.000",40-43,2,1,1
"Apartamento com 3 Quartos à Venda, 64m2","Rua Eviner Gonzaga - Loteamento Jardim das Constelacoes, Salto - SP",BRL 206.000,64,3,1,1
"Apartamento com 3 Quartos à Venda, 94m2","Rua Doutor Henrique Viscardi - Vila Henrique, Salto - SP",BRL 371.000,94,3,2,1
"Apartamento com 2 Quartos à Venda, 62m2","Rua São Mateus - Jardim Nova Era, Salto - SP",BRL 170.000,62,2,2,1
"Apartamento com 2 Quartos à Venda, 65m2","Jardim Nair Maria, Salto - SP",BRL 420.000,65,2,2,1
"Apartamento com 2 Quartos à Venda, 53m2","Rua São Mateus, 51 - Jardim Nova Era, Salto - SP",BRL 390.000,53,2,1,1
"Apartamento com 2 Quartos à Venda, 48m2","Rua Eviner Gonzaga, 22 - Loteamento Jardim das Constelacoes, Salto - SP",BRL 190.000,48,2,1,1
Residencial Sollare,"Avenida Remigio Dalla Vecchia, 431 - Jardim Nair Maria, Salto - SP",BRL 209.000,40,2,44928,1
"Apartamento com 4 Quartos à Venda, 158m2","Salto Ville, Salto - SP",BRL 186.000,158,4,4,2
"Apartamento com 2 Quartos à Venda, 47m2","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",BRL 295.000,47,2,1,1
"Apartamento com 2 Quartos à Venda, 53m2","Vila Teixeira, Salto - SP",BRL 3.200 /month,53,2,1,1
Apartamento com 2 Quartos à Venda/Aluguel 76m2,"Parque Bela Vista, Salto - SP",BRL 480.000,76,2,1,1
Apartamento com 2 Quartos para Venda/Aluguel 62m2,"Parque Bela Vista, Salto - SP",BRL 2.300 /month,62,2,2,1
"Apartamento com 2 Quartos à Venda, 61m2","Jardim Nair Maria, Salto - SP",BRL 320.000,61,2,1,1
Torres de Itu,"Avenida Remigio Dalla Vecchia, 0 - Jardim Nair Maria, Salto - SP",BRL 220.000,73-86,44960,2,44928
"Apartamento com 2 Quartos à Venda, 51m2","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",BRL 185.000,51,2,1,1
"Apartamento com 2 Quartos à Venda, 74m2","Jardim Nair Maria, Salto - SP",BRL 367.000,74,2,1,1
"Apartamento com 2 Quartos à Venda, 48m2","Jardim Nair Maria, Salto - SP",BRL 367.000,48,2,1,1
"Apartamento com 3 Quartos à Venda, 84m2","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",BRL 183.490,84,3,2,2
"Apartamento com 3 Quartos à Venda, 75m2","Rua Macapá, 80 - Jardim Panorama, Salto - SP",BRL 330.000,75,3,2,2
"Apartamento com 2 Quartos à Venda, 45m2","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",BRL 550.000,45,2,1,--
"Apartamento com 3 Quartos à Venda, 85m2","Rua Turmalina, 51 - Jardim Sontag, Salto - SP",BRL 340.000,85,3,1,2
"Apartamento com 2 Quartos à Venda, 44m2","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",BRL 270.000,44,2,1,1
"Apartamento com 2 Quartos à Venda, 65m2","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",BRL 275.000,65,2,1,1
"Apartamento com 2 Quartos à Venda, 46m2","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",BRL 190.000,46,2,1,1
"Apartamento com 2 Quartos à Venda, 62m2","Avenida Eugênio Coltro, 1925 - Salto Ville, Salto - SP",BRL 168.490,62,2,1,1
Apartamento com 2 Quartos para Venda/Aluguel 114m2,"Rua das Nações Unidas, 2111 - Olaria, Salto - SP",BRL 700.000,114,2,3,2
Apartamento com 3 Quartos para Venda/Aluguel 63m2,"Rua Itapiru, 795 - Parque Bela Vista, Salto - SP",BRL 185.000,63,3,1,1
"Apartamento com 2 Quartos à Venda, 46m2","Rua Antônio Gianotto, 243 - Guaraú, Salto - SP",BRL 277.000,46,2,1,1
"Apartamento com 3 Quartos à Venda, 63m2","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",BRL 1.500 /month,63,3,2,--
"Apartamento com 2 Quartos à Venda, 42m2","Rua Padre José de Anchieta, 86 - Vila Romão, Salto - SP",BRL 260.000,42,2,1,1
"Apartamento com 2 Quartos à Venda, 74m2","Jardim Sontag, Salto - SP",BRL 1.800 /month,74,2,1,1
"Apartamento com 2 Quartos à Venda, 63m2","Salto Ville, Salto - SP",BRL 290.000,63,2,2,1
"Apartamento com 2 Quartos à Venda, 166m2","Rua Francisco Brantes Lima, 501 - Jardim Rosinha, Itu - SP","A partir de
BRL 309.000",166,2,4,2
"Apartamento com 2 Quartos à Venda, 56m2","Rua Melvin Jones, 500 - Vila Roma, Salto - SP",BRL 206.000,56,2,1,1
"Apartamento com 3 Quartos à Venda, 120m2","Jardim Nair Maria, Salto - SP",BRL 371.000,120,3,2,2
Residencial Sabine,"Rua Eviner Gonzaga - Loteamento Jardim das Constelacoes, Salto - SP",BRL 170.000,40-43,2,1,1
"Apartamento com 3 Quartos à Venda, 64m2","Rua Doutor Henrique Viscardi - Vila Henrique, Salto - SP",BRL 420.000,64,3,1,1
"Apartamento com 3 Quartos à Venda, 94m2","Rua São Mateus - Jardim Nova Era, Salto - SP",BRL 390.000,94,3,2,1
"Apartamento com 2 Quartos à Venda, 62m2","Jardim Nair Maria, Salto - SP",BRL 190.000,62,2,2,1
"Apartamento com 2 Quartos à Venda, 65m2","Rua São Mateus, 51 - Jardim Nova Era, Salto - SP",BRL 209.000,65,2,2,1
"Apartamento com 2 Quartos à Venda, 53m2","Rua Eviner Gonzaga, 22 - Loteamento Jardim das Constelacoes, Salto - SP",BRL 186.000,53,2,1,1
"Apartamento com 2 Quartos à Venda, 48m2","Avenida Remigio Dalla Vecchia, 431 - Jardim Nair Maria, Salto - SP",BRL 295.000,48,2,1,1
Residencial Sollare,"Salto Ville, Salto - SP",BRL 3.200 /month,40,2,44928,1
"Apartamento com 4 Quartos à Venda, 158m2","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",BRL 480.000,158,4,4,2
"Apartamento com 2 Quartos à Venda, 47m2","Vila Teixeira, Salto - SP",BRL 2.300 /month,47,2,1,1
"Apartamento com 2 Quartos à Venda, 53m2","Parque Bela Vista, Salto - SP",BRL 320.000,53,2,1,1
Apartamento com 2 Quartos à Venda/Aluguel 76m2,"Parque Bela Vista, Salto - SP",BRL 220.000,76,2,1,1
Apartamento com 2 Quartos para Venda/Aluguel 62m2,"Jardim Nair Maria, Salto - SP",BRL 185.000,62,2,2,1
"Apartamento com 2 Quartos à Venda, 61m2","Avenida Remigio Dalla Vecchia, 0 - Jardim Nair Maria, Salto - SP",BRL 367.000,61,2,1,1
Torres de Itu,"Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",BRL 367.000,73-86,44960,2,44928
"Apartamento com 2 Quartos à Venda, 51m2","Jardim Nair Maria, Salto - SP",BRL 183.490,51,2,1,1
"Apartamento com 2 Quartos à Venda, 74m2","Jardim Nair Maria, Salto - SP",BRL 330.000,74,2,1,1
"Apartamento com 2 Quartos à Venda, 48m2","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",BRL 550.000,48,2,1,1
"Apartamento com 3 Quartos à Venda, 84m2","Rua Macapá, 80 - Jardim Panorama, Salto - SP",BRL 340.000,84,3,2,2
"Apartamento com 3 Quartos à Venda, 75m2","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",BRL 270.000,75,3,2,2
"Apartamento com 2 Quartos à Venda, 45m2","Rua Turmalina, 51 - Jardim Sontag, Salto - SP",BRL 275.000,45,2,1,--
"Apartamento com 3 Quartos à Venda, 85m2","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",BRL 190.000,85,3,1,2
"Apartamento com 2 Quartos à Venda, 44m2","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",BRL 168.490,44,2,1,1
"Apartamento com 2 Quartos à Venda, 65m2","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",BRL 700.000,65,2,1,1
"Apartamento com 2 Quartos à Venda, 46m2","Avenida Eugênio Coltro, 1925 - Salto Ville, Salto - SP",BRL 185.000,46,2,1,1
"Apartamento com 2 Quartos à Venda, 62m2","Rua das Nações Unidas, 2111 - Olaria, Salto - SP",BRL 277.000,62,2,1,1
Apartamento com 2 Quartos para Venda/Aluguel 114m2,"Rua Itapiru, 795 - Parque Bela Vista, Salto - SP",BRL 1.500 /month,114,2,3,2
Apartamento com 3 Quartos para Venda/Aluguel 63m2,"Rua Antônio Gianotto, 243 - Guaraú, Salto - SP",BRL 260.000,63,3,1,1
"Apartamento com 2 Quartos à Venda, 46m2","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",BRL 1.800 /month,46,2,1,1
"Apartamento com 3 Quartos à Venda, 63m2","Rua Padre José de Anchieta, 86 - Vila Romão, Salto - SP",BRL 290.000,63,3,2,--
"Apartamento com 2 Quartos à Venda, 42m2","Jardim Sontag, Salto - SP","A partir de
BRL 309.000",42,2,1,1
"Apartamento com 2 Quartos à Venda, 74m2","Salto Ville, Salto - SP",BRL 206.000,74,2,1,1
"Apartamento com 2 Quartos à Venda, 63m2","Rua Francisco Brantes Lima, 501 - Jardim Rosinha, Itu - SP",BRL 371.000,63,2,2,1
"Apartamento com 2 Quartos à Venda, 166m2","Rua Melvin Jones, 500 - Vila Roma, Salto - SP",BRL 170.000,166,2,4,2
"Apartamento com 2 Quartos à Venda, 56m2","Jardim Nair Maria, Salto - SP",BRL 420.000,56,2,1,1
"Apartamento com 3 Quartos à Venda, 120m2","Rua Eviner Gonzaga - Loteamento Jardim das Constelacoes, Salto - SP",BRL 390.000,120,3,2,2
Residencial Sabine,"Rua Doutor Henrique Viscardi - Vila Henrique, Salto - SP",BRL 190.000,40-43,2,1,1
"Apartamento com 3 Quartos à Venda, 64m2","Rua São Mateus - Jardim Nova Era, Salto - SP",BRL 209.000,64,3,1,1
"Apartamento com 3 Quartos à Venda, 94m2","Jardim Nair Maria, Salto - SP",BRL 186.000,94,3,2,1
"Apartamento com 2 Quartos à Venda, 62m2","Rua São Mateus, 51 - Jardim Nova Era, Salto - SP",BRL 295.000,62,2,2,1
"Apartamento com 2 Quartos à Venda, 65m2","Rua Eviner Gonzaga, 22 - Loteamento Jardim das Constelacoes, Salto - SP",BRL 3.200 /month,65,2,2,1
"Apartamento com 2 Quartos à Venda, 53m2","Avenida Remigio Dalla Vecchia, 431 - Jardim Nair Maria, Salto - SP",BRL 480.000,53,2,1,1
"Apartamento com 2 Quartos à Venda, 48m2","Salto Ville, Salto - SP",BRL 2.300 /month,48,2,1,1
Residencial Sollare,"Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",BRL 320.000,40,2,44928,1
"Apartamento com 4 Quartos à Venda, 158m2","Vila Teixeira, Salto - SP",BRL 220.000,158,4,4,2
"Apartamento com 2 Quartos à Venda, 47m2","Parque Bela Vista, Salto - SP",BRL 185.000,47,2,1,1
